dataset,disc,param, inconsistency ,models,con_features,size,time_disc,accuracy,time_train,bias,variance
adult,ChiMerge-SB,6,0.158,CNB,6,"48,842",101.4917,0.77,0.0406,0.234,0.004
adult,ChiMerge-SB,8,0.1499,CNB,6,"48,842",108.5279,0.77,0.0494,0.229,0.005
adult,ChiMerge-SB,10,0.1401,CNB,6,"48,842",116.9634,0.77,0.0444,0.228,0.006
adult,ChiMerge-SB,15,0.1297,CNB,6,"48,842",119.4315,0.77,0.043,0.227,0.008
adult,DT,2,0.0731,CNB,6,"48,842",0.1984,0.79,0.0622,0.211,0.004
adult,DT,3,0.0599,CNB,6,"48,842",0.2315,0.8,0.0823,0.2,0.005
adult,DT,4,0.0458,CNB,6,"48,842",0.2792,0.81,0.071,0.193,0.005
adult,DT,5,0.0314,CNB,6,"48,842",0.3424,0.81,0.0777,0.187,0.005
adult,EWD,4, - ,Knn-Hamming,6,"48,842",0.0487,0.81,14.9373,0.23,0.109
adult,EWD,7, - ,Knn-Hamming,6,"48,842",0.0401,0.8,20.7239,0.224,0.1
adult,EWD,10, - ,Knn-Hamming,6,"48,842",0.0406,0.8,19.2925,0.222,0.101
adult,EFD,4, - ,Knn-Hamming,6,"48,842",0.0424,0.8,18.9812,0.228,0.104
adult,EFD,7, - ,Knn-Hamming,6,"48,842",0.0439,0.8,18.2114,0.228,0.103
adult,EFD,10, - ,Knn-Hamming,6,"48,842",0.0502,0.79,21.8525,0.225,0.103
adult,FFD,10, - ,Knn-Hamming,6,"48,842",0.1971,0.81,28.6291,0.186,0.105
adult,FFD,30, - ,Knn-Hamming,6,"48,842",0.1092,0.81,28.7959,0.184,0.103
adult,FFD,60, - ,Knn-Hamming,6,"48,842",0.0863,0.81,28.1779,0.186,0.1
adult,FFD,100, - ,Knn-Hamming,6,"48,842",0.0755,0.81,29.5765,0.186,0.101
adult,ChiMerge-SB,6,0.158,Knn-Hamming,6,"48,842",101.4917,0.81,7.4807,0.254,0.184
adult,ChiMerge-SB,8,0.1499,Knn-Hamming,6,"48,842",108.5279,0.8,12.2665,0.244,0.165
adult,ChiMerge-SB,10,0.1401,Knn-Hamming,6,"48,842",116.9634,0.8,13,0.248,0.155
adult,ChiMerge-SB,15,0.1297,Knn-Hamming,6,"48,842",119.4315,0.8,15.3293,0.253,0.151
adult,DT,2,0.0731,Knn-Hamming,6,"48,842",0.1984,0.82,20.2468,0.206,0.101
adult,DT,3,0.0599,Knn-Hamming,6,"48,842",0.2315,0.82,25.8023,0.202,0.095
adult,DT,4,0.0458,Knn-Hamming,6,"48,842",0.2792,0.82,26.2408,0.196,0.099
adult,DT,5,0.0314,Knn-Hamming,6,"48,842",0.3424,0.81,24.4726,0.195,0.096
pageblock,EWD,4, - ,ID3,10,"5,472",0.0517,0.83,0.1966,0.171,0.043
pageblock,EWD,7, - ,ID3,10,"5,472",0.0499,0.5,0.2113,0.501,0.006
pageblock,EWD,10, - ,ID3,10,"5,472",0.0473,0.51,0.2198,0.487,0.026
pageblock,EFD,4, - ,ID3,10,"5,472",0.0601,0.83,0.3337,0.172,0.019
pageblock,EFD,7, - ,ID3,10,"5,472",0.0582,0.89,0.3697,0.104,0.021
pageblock,EFD,10, - ,ID3,10,"5,472",0.1989,0.9,0.4053,0.09,0.025
pageblock,FFD,10, - ,ID3,10,"5,472",0.1989,0.93,2.9203,0.071,0.048
pageblock,FFD,30, - ,ID3,10,"5,472",0.0945,0.91,1.5075,0.081,0.048
pageblock,FFD,60, - ,ID3,10,"5,472",0.0758,0.9,1.0355,0.075,0.056
pageblock,FFD,100, - ,ID3,10,"5,472",0.0703,0.9,0.8558,0.077,0.061
pageblock,ChiMerge-SB,6,0.0097,ID3,10,"5,472",27.4628,0.91,0.4489,0.089,0.022
pageblock,ChiMerge-SB,8,0.0057,ID3,10,"5,472",24.4076,0.9,0.4151,0.089,0.035
pageblock,ChiMerge-SB,10,0.0038,ID3,10,"5,472",23.9492,0.92,0.4687,0.066,0.048
pageblock,ChiMerge-SB,15,0.0037,ID3,10,"5,472",23.6255,0.91,0.6028,0.079,0.041
pageblock,DT,2,0.023,ID3,10,"5,472",0.329,0.83,0.3446,0.169,0.033
pageblock,DT,3,0.0102,ID3,10,"5,472",0.3522,0.81,0.4077,0.152,0.045
pageblock,DT,4,0.0048,ID3,10,"5,472",0.3493,0.9,0.7957,0.099,0.063
pageblock,DT,5,0.0033,ID3,10,"5,472",0.3617,0.93,0.6129,0.069,0.039
pageblock,EWD,4, - ,CNB,10,"5,472",0.0517, Index out of bounds , Index out of bounds , N/A , N/A 
pageblock,EWD,7, - ,CNB,10,"5,472",0.0499, Index out of bounds , Index out of bounds , N/A , N/A 
pageblock,EWD,10, - ,CNB,10,"5,472",0.0473, Index out of bounds , Index out of bounds , N/A , N/A 
pageblock,EFD,4, - ,CNB,10,"5,472",0.0601,0.77,0.0121,0.232,0.008
pageblock,EFD,7, - ,CNB,10,"5,472",0.0582,0.82,0.0167,0.175,0.006
pageblock,EFD,10, - ,CNB,10,"5,472",0.1989,0.85,0.0124,0.154,0.007
pageblock,FFD,10, - ,CNB,10,"5,472",0.1989,0.89,0.0131,0.108,0.022
pageblock,FFD,30, - ,CNB,10,"5,472",0.0945,0.9,0.013,0.103,0.013
pageblock,FFD,60, - ,CNB,10,"5,472",0.0758,0.9,0.0131,0.103,0.013
pageblock,FFD,100, - ,CNB,10,"5,472",0.0703,0.9,0.0137,0.102,0.012
pageblock,ChiMerge-SB,6,0.0097,CNB,10,"5,472",27.4628,0.92,0.0146,0.085,0.006
pageblock,ChiMerge-SB,8,0.0057,CNB,10,"5,472",24.4076,0.92,0.0226,0.083,0.003
pageblock,ChiMerge-SB,10,0.0038,CNB,10,"5,472",23.9492,0.92,0.0167,0.082,0.004
pageblock,ChiMerge-SB,15,0.0037,CNB,10,"5,472",23.6255,0.92,0.0169,0.08,0.005
pageblock,DT,2,0.023,CNB,10,"5,472",0.329,0.91,0.0157,0.093,0.003
pageblock,DT,3,0.0102,CNB,10,"5,472",0.3522,0.91,0.0151,0.092,0.004
pageblock,DT,4,0.0048,CNB,10,"5,472",0.3493,0.92,0.0213,0.082,0.007
pageblock,DT,5,0.0033,CNB,10,"5,472",0.3617,0.92,0.0181,0.081,0.005
pageblock,EWD,4, - ,Knn-Hamming,10,"5,472",0.0517,0.92,0.1615,0.35,0.17
pageblock,EWD,7, - ,Knn-Hamming,10,"5,472",0.0499,0.89,0.1615,0.197,0.118
pageblock,EWD,10, - ,Knn-Hamming,10,"5,472",0.0473,0.9,0.171,0.164,0.11
pageblock,EFD,4, - ,Knn-Hamming,10,"5,472",0.0601,0.95,0.1581,0.104,0.031
pageblock,EFD,7, - ,Knn-Hamming,10,"5,472",0.0582,0.92,0.224,0.083,0.025
pageblock,EFD,10, - ,Knn-Hamming,10,"5,472",0.1989,0.93,0.2687,0.077,0.026
pageblock,FFD,10, - ,Knn-Hamming,10,"5,472",0.1989,0.87,0.4785,0.123,0.098
pageblock,FFD,30, - ,Knn-Hamming,10,"5,472",0.0945,0.91,0.4581,0.099,0.075
pageblock,FFD,60, - ,Knn-Hamming,10,"5,472",0.0758,0.93,0.4942,0.074,0.05
pageblock,FFD,100, - ,Knn-Hamming,10,"5,472",0.0703,0.92,0.4289,0.083,0.046
pageblock,ChiMerge-SB,6,0.0097,Knn-Hamming,10,"5,472",27.4628,0.96,0.2596,0.048,0.014
pageblock,ChiMerge-SB,8,0.0057,Knn-Hamming,10,"5,472",24.4076,0.96,0.3642,0.041,0.044
pageblock,ChiMerge-SB,10,0.0038,Knn-Hamming,10,"5,472",23.9492,0.96,0.4375,0.04,0.016
pageblock,ChiMerge-SB,15,0.0037,Knn-Hamming,10,"5,472",23.6255,0.95,0.5221,0.044,0.016
pageblock,DT,2,0.023,Knn-Hamming,10,"5,472",0.329,0.96,0.2295,0.07,0.027
pageblock,DT,3,0.0102,Knn-Hamming,10,"5,472",0.3522,0.96,0.273,0.045,0.025
pageblock,DT,4,0.0048,Knn-Hamming,10,"5,472",0.3493,0.96,0.4093,0.05,0.017
pageblock,DT,5,0.0033,Knn-Hamming,10,"5,472",0.3617,0.95,0.4486,0.049,0.018
